Year,Work,Theatre,FileName
1858,"As-tu vu la comète, mon gas?",Théâtre des Variétés,As_tu_vu_la_comete_mon_gas_text.pdf
1843,Brutus ou le dernier soldat du guet,Théâtre du Vaudeville,Brutus_ou_le_dernier_soldat.pdf
1855,Le Palais de Chrysocale,Théâtre des Variétés,Clairville_Garet_Le_Palais_de_Chrysocale_(1855).pdf
1855,Le Quart de Monde,Théâtre des Variétés,Clairville_Thiboust_Le_quart_du_monde_(1855).pdf
1824,Coraly,Théâtre du Gymnase-Dramatique,Coraly_ou_la_soeur_et_le_Frere.pdf
1847,D’Aranda,Théâtre du Gymnase-Dramatique,D_Aranda_ou_les_grandes_passions_comédi_p_19.pdf
1834,La Toque bleue,Théâtre du Gymnase-Dramatique,Dupin_Dumanoir_La_toque_bleue_(1834).pdf
1807,Les Artistes par occasion,Opéra-Comique,Duval_Les_artistes_par_occasion_(1807).pdf
1834,L’Apprenti,Théâtre des Variétés,L_apprenti_ou_l_art_de_faire_une_maître.pdf
1823,Isle des noirs,Théâtre du Vaudeville,L_isle_des_noirs_ou_Les_deux_ingénues.pdf
1826,La Dette d’honneur,Théâtre du Vaudeville,La_Dette_d_honneur.pdf
1831,La Favorite,Théâtre du Gymnase-Dramatique,La_favorite_comedie_vaudeville_en_1_acte.pdf
1839,La Grisette et l’héritière,Théâtre du Vaudeville,La_grisette_et_l_héritière.pdf
1821,La Servante justifiée,Théâtre de la Porte Saint-Martin,la_servante_justifiee.pdf
1849,Rue de l’homme armé,Théâtre des Variétés,Labiche_Rue_de_l'Homme_armé_(1849).pdf
1825,Le Baril d’olives,Théâtre des Variétés,Le_Baril_d_olives_comédie-vaudeville.pdf
1827,Le Mari par interim,Théâtre du Vaudeville,Le_Mari_par_Intérim_Comédie_vaudeville.pdf
1833,Le Singe et l’adjoint,Théâtre du Palais-Royal,Le_Singe_et_l_Adjoint_folie_vaudeville.pdf
1822,Les Enscorcelés,Théâtre de la Porte Saint-Martin,Les_ensorcelés_ou_les_amans_ignorans.pdf
1823,Les Maris sans femmes,Théâtre du Vaudeville,Les_maris_sans_femmes.pdf
1824,Les Modistes,Théâtre du Vaudeville,Les_Modistes_tableau-vaudeville_2.pdf
1857,Ohé! les p’tits agneaux!,Théâtre des Variétés,Ohé_Les_p_tits_agneaux_revue.pdf
1847,Paris voleur,Théâtre du Palais-Royal,Paris_voleur.pdf
1818,"Le Fifre du roi de Prusse, ou les Prisonniers de Spandau",Théâtre des Variétés,"Revel_=_Le_Fifre_du_roi_de_Prusse,_ou_les_Prisonniers_de_Spandau_(1818).pdf"
1822,Sans Tambour ni trompette,Théâtre des Vartiétés,Sans_tambour_ni_trompette_with_lyas_as_on_noffense_pas_une_belle.pdf
1823,Les Grisettes,Théâtre du Gymnase-Dramatique,Scribe_Dupin_Les_grisettes_(1823).pdf
1833,Chanoinesse,Théâtre du Gymnase-Dramatique,Scribe-Cornu_-_La_chanoinesse.pdf
1838,Simon Terre-Neuve,Théâtre du Gymnase Dramatique,Simon_Terre-Neuve.pdf
1834,Théophile,Theâtre du Vaudeville,Theophile_ou_ma_vocation_comedie.pdf
1834,Turiaf le pendu,Théâtre des Variétés,turiaflependu.pdf
1847,Un Docteur en herbe,Théâtre du Palais-Royal,Un_docteur_en_herbe.pdf
1850,Un Monsieur qui suit les femmes,Théâtre du Palais-Royal,Un_monsieur_qui_suit_les_femmes_comédie.pdf
1831,Le Bal d’ouvriers,Théâtre du Vaudeville,Varin_Louis_Le_bal_des_ouvriers_(1831).pdf
1826,La Dette d’honneur,Théâtre du Vaudeville,Velleneuve_Dupeuty_Langlé_La_dette_d'honneur_(1826).pdf
1824,Veuve et garçon,Théâtre de l’Ambigu-Comique,Veuve_et_garcon.pdf